SymbolID;Recommendations
S1858788;{848,Hold,0.05196047,0}{4357,Buy,0.2337333,34}{848,Hold,0.1175076,35}{3610,Buy,0.3812155,37}
S30584221;{1700,Hold,NA,0}{4349,Buy,0.185567,8}{1195,Hold,NA,18}{22739,Hold,0.4098201,18}{1700,Hold,NA,18}{1700,Hold,NA,22}{489,Buy,NA,23}{22739,Hold,0.1786222,31}{4349,Buy,-0.03694969,34}{1700,Hold,NA,41}{1700,Hold,NA,52}{1700,Hold,NA,54}{22739,Hold,0.126364,56}
S104037;{3832,Buy,0.3574661,0}
S6419125;{1645,Hold,NA,0}{530,Hold,-0.03942365,0}{1645,Hold,NA,16}{3857,Buy,0.1645141,20}{3014,Buy,0.4146959,25}{2312,Buy,NA,33}{1856,Buy,0.3879251,35}{530,Hold,0.04094379,35}{3526,Hold,0.02862254,39}
S94311056;{2208,Buy,0.5048619,0}{3084,Buy,0.2501929,0}{430,Buy,0.157586,0}{3167,Buy,0.4276895,0}{458,Buy,0.3119309,0}{430,Buy,0.1538462,10}{1276,Buy,NA,10}{3111,Buy,0.07692308,10}{1720,Buy,0.2008987,13}{1276,Buy,NA,13}{3117,Buy,0.1001782,13}{3864,Buy,0.3028805,14}{2208,Buy,0.5393117,18}{3090,Hold,0.341964,18}{3084,Buy,0.2788128,18}{510,Buy,0.2630249,18}{3167,Buy,0.4827282,19}{430,Buy,0.1852086,20}{430,Buy,0.1852086,20}{5132,Sell,NA,22}{4404,Buy,0.1372549,24}{3105,Hold,-0.001229256,25}{1172,Hold,NA,26}{1720,Hold,NA,27}{1736,Hold,NA,28}{430,Buy,0.1691348,29}{1276,Buy,NA,31}{3111,Buy,0.05386417,31}{3864,Buy,0.3219718,32}{1191,Hold,0.07526882,33}{4313,Buy,0.1878366,34}{736,Buy,0.148242,34}{3167,Buy,0.4649984,34}{1661,Hold,0.05213195,35}{342,Buy,0.1470612,35}{2208,Buy,0.5425995,35}{510,Buy,0.2261688,35}{2109,Buy,0.1811024,36}{4404,Buy,0.1417323,36}{458,Buy,0.2598425,36}{3117,Buy,0.1181102,36}{1078,Buy,0.2697671,37}{2144,Buy,0.2074472,37}{1720,Buy,0.2074472,37}{3111,Buy,0.05164758,37}{1276,Buy,NA,38}{3117,Buy,0.1274315,38}{868,Hold,-0.007542676,38}{471,Buy,0.2703454,38}{3864,Buy,0.2703454,38}{868,Hold,-0.006754072,39}{1720,Buy,NA,39}{1191,Hold,0.0727056,39}{1276,Buy,0.1521653,39}{3084,Buy,0.2872467,39}{3363,Hold,-0.006754072,39}{3105,Hold,0.03297576,40}{1736,Hold,0.05681367,40}{941,Buy,0.2713548,40}{1573,Hold,NA,41}{2179,Hold,NA,41}{3167,Buy,0.4493889,41}{3133,Buy,0.24528,42}{3178,Hold,0.004258054,42}{3864,Buy,0.3336547,42}{4437,Buy,0.1197313,43}{3105,Hold,0.001442077,44}{2109,Buy,0.1896265,45}{1736,Hold,NA,45}{222,Buy,0.1640042,47}{3084,Buy,0.3033561,48}{3167,Buy,0.4619883,49}{2179,Hold,0.1318085,50}{510,Buy,0.1789672,50}{1720,Buy,0.2182661,50}{3084,Buy,0.2586532,51}{3084,Buy,0.2475634,52}{1573,Hold,-0.0331384,52}{2208,Buy,0.3980583,53}{430,Buy,0.1650485,53}{3111,Buy,NA,55}{22684,Buy,0.2057878,57}{3117,Buy,0.085209,57}{1661,Hold,0.03406814,59}
S3606780;{8593,Buy,NA,0}{877,Hold,0.09051254,40}{3563,Hold,-0.1214118,46}
S3434273;{4301,Buy,0.1432531,0}{1646,Hold,NA,35}
S17646222;{860,Hold,0.1673152,0}{3126,Buy,0.1172224,21}{860,Hold,0.02651839,29}{860,Hold,0.09990834,41}{3705,Buy,0.1069452,47}{4705,Buy,0.1783327,54}{1861,Buy,0.1471938,56}
S448629;{2096,Hold,NA,0}
S11746101;{860,Hold,0.1152416,0}{3302,Hold,0.1688312,26}{860,Hold,0.1435832,33}{156194,Buy,0.2539185,53}{13455,Buy,0.171459,55}{949,Hold,0.05042017,56}
S20713127;{1680,Buy,0.3341087,0}{272,Hold,0.04635978,0}{372,Buy,0.2891728,2}{27732,Buy,0.08858269,6}{372,Buy,NA,23}{27732,Buy,0.05945974,28}{27732,Buy,0.08086754,43}{372,Buy,0.2701765,47}{372,Buy,NA,51}
S4663565;{4641,Buy,0.2745221,0}
S47341190;{4002,Hold,0.07973422,0}{1709,Buy,0.1240165,27}{430,Buy,0.2195122,30}{342,Buy,0.140834,30}{3685,Buy,0.2588513,30}{1709,Buy,0.1867089,35}{3117,Buy,0.2688343,36}{736,Buy,0.3481364,36}{1709,Buy,0.1511896,42}{868,Buy,0.1359334,43}{1709,Buy,0.1320755,46}{342,Buy,0.1089866,48}{458,Buy,0.1863758,49}{3167,Hold,0.07156525,49}{1812,Buy,0.1863758,49}{3105,Buy,NA,50}{1276,Hold,-0.09090909,51}{2208,Buy,0.2035011,52}{15253,Hold,-0.04376609,57}
S12358128;{22616,Buy,0.198466,0}{1913,Hold,0.03194103,38}{860,Hold,-0.000999001,41}{22616,Buy,0.2722646,45}{22616,Hold,NA,54}
S2911788;{1202,Hold,-0.03344288,0}
S3031140;{851,Hold,0.1106704,0}{851,Hold,0.1266511,19}{4643,Hold,NA,43}{851,Hold,-0.004975124,44}
S29454106;{4021,Hold,0.03196154,0}{4138,Hold,0.2148015,26}{29117,Buy,0.5674915,34}{234,Sell,0.0293357,55}{4555,Hold,0.3134055,57}{4213,Buy,0.5177131,57}
S821292;{4262,Hold,NA,0}{3879,Hold,-0.008919722,30}
S272250;{291,Buy,5.162103,0}{3908,Hold,4.573838,42}{291,Buy,5.156179,42}{1304,Buy,5.474245,43}{1900,Buy,4.811469,44}
S2262101;{3487,Hold,NA,0}{157002,Buy,0.04257168,4}{4357,Buy,0.0660793,6}{3710,Hold,0.02031437,8}{3487,Hold,0.08027566,9}{848,Buy,0.08614928,10}{24691,Buy,0.07146185,11}{13387,Hold,0.05766578,12}{126188,Hold,0.0208774,12}{3832,Buy,0.04846868,12}{3832,Buy,0.1711126,13}{342,Hold,0.03714878,15}{299,Hold,0.04662226,16}{2261,Buy,0.07992388,16}{3832,Buy,0.0999614,18}{848,Buy,0.1860112,29}{24691,Buy,0.1010053,43}
S4850142;{3622,Buy,0.05570895,0}{2130,Hold,0.002171371,4}{2130,Hold,0.02348993,15}{2130,Hold,0.03909827,25}{731,Buy,0.2193028,27}{2130,Hold,0.01986988,33}{2130,Hold,-0.01056515,52}
S48162117;{1156,Hold,0.07430618,0}{1858,Hold,0.07787066,4}{1202,Hold,0.03671706,5}{1346,Hold,0.1394809,10}{1156,Hold,0.02389078,28}{1858,Buy,-0.7672614,54}
S132090;{3160,Buy,0.8309896,0}{4365,Hold,NA,19}{1458,Hold,0.3070876,28}{665,Buy,0.60352,30}{3432,Buy,0.5646226,33}{4365,Hold,NA,36}{4365,Hold,NA,36}
S3434273;{4963,Hold,NA,0}{24480,Hold,-0.008264463,7}{4301,Buy,0.2152269,25}
S21840103;{1718,Buy,-0.01713002,0}{1718,Buy,0.1705686,24}{3955,Buy,0.1313639,43}{14987,Hold,0.1153601,55}
S553223;{161169,Hold,1.472066,0}{867,Hold,1.703309,32}{125841,Hold,2.067195,36}
S3559786;{397,Hold,0.05140187,0}{791,Buy,0.1937329,47}{1262,Buy,0.2272175,49}{14960,Buy,0.1170471,54}{21958,Buy,NA,55}
S26301203;{354,Hold,-0.04323175,0}{1709,Buy,0.05569712,7}{3106,Buy,0.1598405,9}{1498,Hold,0.07485605,18}{3124,Hold,0.1850153,19}{3752,Buy,0.3379205,19}{2208,Buy,0.3761468,19}{1784,Hold,0.1446013,20}{1709,Buy,0.2209081,20}{4706,Buy,0.2307692,21}{8896,Buy,0.2158055,29}{2241,Buy,NA,48}
S30231105;{1444,Hold,NA,0}{33177,Buy,0.3057325,0}{1794,Buy,0.1236532,22}{24656,Hold,-0.2075651,23}{24651,Hold,-0.05635371,24}{24651,Hold,0.0324801,25}{4359,Hold,-0.06934695,27}{1794,Buy,0.1903468,28}{3361,Buy,NA,30}{1413,Buy,0.1543004,43}
S19655115;{8593,Hold,NA,0}{3172,Buy,0.2057878,43}{13455,Buy,0.1694387,50}{3172,Buy,0.1453296,53}
S42169153;{8598,Hold,0.02941176,0}{4138,Hold,-0.0726892,31}{3151,Hold,-0.1200121,35}{579,Hold,0.001365498,35}{1911,Buy,0.08108108,36}{4138,Hold,-0.007046765,41}{4770,Hold,0.08232207,42}{24685,Hold,0.03223757,51}
S45359401;{15109,Buy,-0.3847782,0}{444,Buy,0.2690949,0}{3118,Buy,0.6151613,1}{3054,Buy,NA,2}{1527,Buy,0.2658646,11}{3296,Buy,0.165,13}{3074,Hold,NA,15}{1704,Buy,0.2955086,16}{603,Buy,0.2742415,16}{36781,Buy,0.9957451,17}{859,Buy,0.2528534,17}{859,Buy,0.36,18}{2252,Sell,-0.388,18}{3296,Buy,0.2126984,18}{1793,Hold,0.1362559,19}{530,Buy,0.4256905,20}{13247,Buy,0.6286758,20}{665,Buy,0.3728326,21}{33909,Hold,0.2149262,21}{3057,Buy,0.4092464,21}{4447,Hold,0.202845,21}{1645,Buy,0.4504579,22}{3054,Buy,0.5108937,22}{3118,Buy,14.2359,22}{4513,Buy,NA,22}{665,Buy,0.2811701,22}{1669,Hold,-0.0423017,23}{1704,Buy,0.1563805,23}{1527,Buy,0.544169,24}{4362,Hold,0.1284312,24}{4309,Hold,0.199634,24}{296,Buy,0.4056969,26}{296,Buy,0.2636103,26}{24051,Hold,0.08309456,26}{15211,Hold,0.3171443,27}{2252,Sell,-0.413205,27}{603,Buy,0.2529513,28}{3057,Buy,0.167888,29}{4190,Buy,0.4342389,33}{2252,Sell,NA,36}{1209,Buy,0.1471722,38}{33909,Hold,-0.0112325,40}{3057,Buy,0.05889157,42}{296,Hold,-0.1337555,42}{930,Sell,-0.2060166,44}{1527,Buy,0.1059481,46}{1704,Buy,0.01715162,48}
S2026475;{3562,Buy,0.4213719,0}{3737,Buy,NA,0}{3737,Buy,0.4646329,35}{1552,Hold,NA,37}{14915,Hold,0.2721799,40}{3816,Buy,0.4602413,45}{3562,Buy,0.4414748,61}
S2745665;{1188,Buy,0.1613308,0}{456,Buy,0.2894534,28}{4218,Hold,0.2702079,28}{4218,Buy,0.2928501,30}{4218,Buy,NA,56}
S27356109;{4099,Buy,-0.02654584,0}{288,Buy,0.229618,23}{4424,Buy,0.1255579,42}{4099,Hold,NA,46}{3735,Hold,NA,49}{3633,Buy,0.2820633,50}{1518,Buy,0.2412254,55}
S3386173;{4285,Hold,0.3859736,0}{708,Buy,0.5580454,12}{1673,Buy,0.6286394,19}{4240,Buy,0.7836791,27}
S1862064;{3383,Buy,0.3349815,0}{876,Hold,NA,2}{744,Buy,0.2093023,55}{3708,Buy,0.1622501,56}
S644385;{876,Buy,0.22455,0}{1294,Buy,0.06024787,46}{3644,Buy,0.15632,47}{4225,Hold,0.09850401,47}
S4499433;{1304,Hold,0.02810144,0}{1304,Hold,0.02564103,37}{3512,Buy,0.2823502,58}
S1162632;{4011,Hold,0.1607534,0}{15240,Buy,0.3313047,24}
S26301203;{2208,Buy,0.1613438,0}{222,Hold,NA,23}{3106,Hold,-0.0800368,24}{8896,Hold,0.1039558,24}{3173,Hold,-0.01777362,25}{2208,Buy,0.3096352,25}{3601,Hold,0.1225444,25}{1498,Hold,-0.01433692,26}{3601,Hold,0.05773468,36}
S4602637;{3092,Buy,NA,0}{25170,Hold,0.1810261,56}
S45649240;{1700,Buy,-0.243522,0}{1700,Buy,-0.2356036,2}{1700,Buy,-0.2600449,6}{1700,Buy,-0.2302318,15}{1700,Buy,-0.2424757,19}{4221,Sell,-0.3557898,38}{1700,Buy,-0.2300515,39}{1700,Buy,-0.2428248,43}{1700,Buy,-0.2539976,46}
S29593164;{630,Buy,0.1967529,0}{846,Buy,0.3390242,0}{1415,Buy,0.101771,2}{1281,Hold,NA,12}{3936,Buy,0.164548,17}{1289,Hold,0.07952501,23}{1281,Hold,0.04166667,28}{3755,Buy,0.09558316,39}{8968,Buy,0.1938654,45}{2259,Buy,NA,47}{694,Buy,0.05082155,49}{3932,Buy,0.2633535,51}{3936,Buy,0.2169066,51}
S1862064;{876,Hold,0.09995218,0}{744,Buy,0.2842677,45}
S4256411;{9891,Buy,0.9746148,0}
S1940885;{2115,Hold,-0.1325665,0}{871,Hold,-0.001439367,41}
S644385;{1294,Buy,0.08568075,0}{4225,Hold,0.1150235,0}{3644,Buy,0.1566544,2}{4225,Hold,0.08727167,17}{876,Buy,0.1515496,25}
S40691134;{1670,Hold,0.01606348,0}{1702,Hold,NA,1}{3976,Hold,NA,4}{1702,Hold,NA,9}{1670,Hold,NA,32}{754,Buy,0.313954,32}{2291,Buy,NA,52}{4641,Sell,-0.06962251,56}
S48769203;{860,Hold,0.1790136,0}{3705,Hold,0.3525699,4}{1258,Buy,0.1464805,9}{860,Hold,0.1811024,12}{860,Hold,0.2020033,30}{860,Hold,0.2551426,41}{1258,Buy,0.1424219,58}
S7458399;{11021,Hold,NA,0}{3133,Hold,NA,0}{3084,Buy,0.1660448,1}{3012,Buy,0.1952072,7}{1455,Buy,0.1418441,15}{1831,Buy,NA,15}{13247,Buy,0.179941,16}{1892,Buy,0.179941,16}{1936,Buy,0.06606607,19}{1936,Buy,0.04258443,21}{3854,Buy,0.1502783,22}{4213,Buy,0.2592593,25}{1704,Buy,0.1051117,26}{1732,Buy,0.1913626,27}{1704,Buy,0.1203176,29}{3134,Buy,0.16039,33}{33909,Buy,0.281568,35}{3084,Buy,0.2146056,37}{3348,Buy,0.4152529,53}{4213,Buy,0.269634,55}
S161798;{22625,Buy,3.167301,0}
S1367196;{3511,Sell,2.87766,0}{4652,Buy,NA,0}{4098,Sell,2.902898,1}{433,Buy,3.759041,2}{2286,Hold,2.907423,2}{3511,Sell,2.69116,26}{946,Buy,3.487336,56}
S34745119;{860,Hold,-0.6759435,0}{1913,Hold,NA,0}{860,Hold,-0.6474339,32}
S553223;{3961,Buy,1.556444,0}{3467,Hold,1.26147,0}
S6843203;{1707,Buy,0.3485477,0}{1707,Buy,0.5084706,7}{277,Buy,0.9205002,14}{4251,Buy,0.3169447,17}{1707,Buy,0.401164,18}{38231,Buy,0.2903226,20}{1707,Buy,0.3803355,24}{1707,Buy,0.3432527,27}{4157,Hold,0.2060507,28}{1707,Buy,0.2066085,38}{1707,Buy,0.2052661,44}{1707,Buy,0.2052661,44}
S38927421;{770,Buy,0.09938434,0}{3167,Buy,NA,5}{3883,Buy,NA,6}{713,Buy,NA,11}{941,Buy,0.1805108,14}{1674,Buy,0.06587082,18}{1035,Sell,-0.2297818,19}{4046,Hold,NA,23}{1563,Hold,NA,23}{1871,Buy,0.2069736,24}{22363,Hold,NA,25}{3030,Buy,0.1228385,25}{3099,Buy,0.2575792,25}{3883,Buy,0.1581292,29}{1731,Buy,0.2173129,51}
