SymbolID;Recommendations;Decision
S94311056;{3084,Buy,0.4603721,0}{3864,Buy,0.1864133,6}{25525,Buy,0.211129,7}{342,Buy,0.1658611,9}{1573,Buy,0.2515862,9}{342,Buy,0.1766182,10}{3104,Buy,0.1046623,11}{941,Buy,0.3092294,11}{2208,Buy,0.8181923,11}{3105,Buy,NA,12}{3084,Buy,0.5217696,12}{3105,Buy,NA,12}{1708,Buy,6.764711,13}{1239,Hold,NA,14}{3104,Buy,6.729683,14}{303,Buy,0.2290017,15}{471,Hold,NA,15}{3110,Buy,0.01597471,15}{1573,Buy,0.1962283,15}{1078,Buy,8.05385,16}{3077,Buy,0.2693727,16}{510,Buy,0.3091455,17}{4527,Buy,0.3141197,17}{3864,Buy,0.1869643,18}{3082,Buy,0.324803,19}{3640,Buy,NA,20}{3084,Buy,0.4637285,21}{3117,Buy,0.2316211,22}{3125,Buy,NA,22}{3178,Buy,0.1870569,23}{3104,Sell,-0.9636339,24}{3110,Buy,0.0261754,24}{2208,Buy,0.856397,25}{342,Buy,0.1899503,26}{3133,Buy,0.2725956,27}{3084,Buy,0.5649486,27}{3114,Sell,NA,28}{430,Buy,NA,29}{2208,Buy,0.9071809,32}{303,Buy,0.2674045,34}{2208,Buy,0.9340357,37}{1573,Buy,NA,37}{1158,Buy,0.2913787,43}{736,Buy,0.3130317,44}{4527,Buy,0.4167874,45}{1573,Buy,0.4162063,46}{3178,Buy,NA,48}{2208,Buy,0.9343748,50}{3110,Buy,0.09155336,51}{3077,Buy,0.3732445,51}{3084,Buy,0.6021186,51}{2208,Buy,1.066108,55}{3077,Buy,NA,58};Sell
S175871;{307,Buy,0.1847301,0}{307,Buy,0.1643529,40};Hold
S1913464;{3888,Buy,0.1612903,0};Sell
S3682384;{1702,Buy,0.1366866,0};Buy
S94311056;{3110,Buy,NA,0}{3117,Buy,0.2684415,8}{4527,Buy,0.2270999,14}{2073,Buy,0.1289319,14}{1855,Buy,0.3498099,14}{3127,Buy,0.2185985,16}{3864,Buy,0.1562991,17}{1736,Buy,0.2950549,17}{342,Buy,0.1562991,17}{922,Buy,0.202551,17}{3077,Buy,0.1701747,17}{588,Buy,0.2959257,19}{3105,Buy,0.319488,19}{1158,Buy,0.2441551,19}{3084,Buy,0.3147755,19}{3138,Buy,0.1343778,24}{1576,Buy,NA,27}{1078,Buy,0.1686973,31}{1914,Buy,NA,38}{4626,Buy,NA,39}{1158,Buy,NA,42}{208,Sell,NA,42}{3077,Buy,0.314733,44}{3082,Buy,NA,47};Buy
S4258978;{3490,Sell,NA,0};Buy
S3515147;{3250,Hold,NA,0}{746,Hold,-0.07084785,0};Sell
S3682384;{1702,Hold,0.06903425,0};Hold
S48162117;{1346,Hold,0.1217359,0}{3519,Hold,-0.01690238,54};Buy
S5131181;{1735,Buy,1.288389,0}{3339,Buy,1.125963,8}{4160,Buy,1.329405,13}{1051,Buy,1.34375,14}{2265,Hold,0.9653979,16}{2253,Buy,1.262124,20};Hold
S1139883;{4365,Buy,0.2044968,0}{3135,Buy,0.2524353,38}{4365,Buy,0.2576859,44};Hold
S1367196;{1188,Buy,2.975413,0}{278,Hold,2.273518,42};Sell
S314697;{3392,Buy,NA,0}{1721,Buy,0.208837,46};Hold
S94311056;{3105,Hold,-0.0394981,0}{4527,Buy,0.3335149,14}{881,Buy,0.5419884,16}{3110,Buy,0.3706564,16}{3104,Buy,NA,16}{303,Buy,0.2698429,30}{3162,Buy,0.2424086,37}{2146,Buy,0.2662411,49};Buy
S3806332;{3457,Hold,0.07238606,0}{2301,Hold,0.03779127,45}{3679,Hold,-0.003197292,58};Sell
S12434156;{3878,Buy,0.1424404,0}{3869,Buy,0.1667477,0}{7314,Hold,0.05832549,22};Buy
S3554366;{3566,Hold,0.09806891,0}{3483,Sell,-0.04549147,21}{22522,Buy,0.1525005,22}{343,Buy,0.1168563,23}{856,Hold,0.03220479,28}{3483,Sell,NA,55}{343,Buy,0.1630411,56};Sell
S591675;{4836,Buy,0.1723954,0}{3524,Buy,0.5281174,34}{221,Buy,0.2954966,36}{1652,Hold,NA,36}{4176,Hold,0.1169718,39}{3873,Buy,0.3962147,39}{6072,Buy,NA,40}{1552,Buy,0.2772586,40}{6196,Buy,0.2149533,40};Buy
S2092136;{3456,Buy,0.09689214,0};Sell
S448588;{847,Buy,1.102521,0}{847,Buy,1.103898,23}{6233,Sell,0.9163642,43}{3703,Sell,0.9091281,44};Buy
S2267887;{1298,Hold,-0.004517316,0}{307,Buy,0.003932067,13}{15240,Buy,0.06761566,26}{3486,Hold,-0.02558888,26}{4186,Buy,0.05932203,28}{22466,Buy,0.1473848,31}{307,Buy,0.04130809,37}{1298,Hold,0.01549053,37}{3691,Buy,0.1602452,42};Hold
S29800192;{3854,Buy,0.06125951,0}{1793,Buy,0.1673855,0}{15087,Buy,0.1456098,2}{1892,Buy,0.085031,7}{930,Buy,0.07762194,11}{14907,Buy,0.1219512,13}{4447,Buy,0.1490179,18}{3885,Buy,0.1267806,21}{3348,Buy,0.317507,23}{1527,Buy,0.2305968,28};Buy
S32606160;{1043,Sell,-0.1449145,0};Buy
S3575567;{37216,Buy,-0.3138937,0}{37216,Buy,-0.1422445,61};Buy
S47439160;{1527,Hold,NA,0}{3054,Hold,0.128173,17}{3854,Buy,0.34396,19}{603,Hold,0.2403101,21}{3461,Buy,0.2675626,24}{1209,Buy,0.2217471,24}{4447,Hold,0.0550113,25}{15087,Hold,NA,25}{3885,Buy,0.2084592,27}{14907,Buy,0.2468828,29}{1892,Hold,0.02684465,29}{1892,Hold,NA,29}{1209,Buy,0.08491248,39}{3348,Hold,0.07122177,41}{3673,Buy,0.2324199,44};Sell
S27356109;{765,Buy,NA,0};Sell
S47757139;{4035,Buy,NA,0}{3153,Hold,-0.02439024,0}{3296,Buy,0.1600074,31}{3014,Buy,NA,40}{1157,Buy,0.1468321,42}{230,Buy,0.2456209,45};Hold
S29981135;{2099,Buy,NA,0}{1715,Buy,0.1391881,33}{1533,Buy,0.344086,47}{1871,Buy,NA,52};Buy
S40770141;{3107,Buy,0.1764706,0}{464,Hold,NA,25};Hold
S25239156;{4513,Buy,NA,0}{1175,Sell,NA,54};Buy
S39271195;{3359,Hold,0.6192498,0}{1710,Buy,0.6202833,5}{14866,Hold,0.7137113,37}{1710,Buy,0.5290828,48};Sell
S36586316;{1700,Buy,0.2066696,0}{1700,Buy,0.3036265,16}{1700,Buy,0.2189716,24}{1700,Buy,0.1833046,27}{1700,Buy,0.2380416,36}{1700,Buy,0.07191581,47}{1700,Buy,0.08481262,54};Sell
S1448130;{1711,Buy,0.25,0}{3267,Buy,0.2927369,27}{3139,Hold,-0.004555424,31};Sell
S24359139;{3420,Sell,-0.1281604,0}{222,Buy,0.4611872,43}{3164,Hold,NA,50}{4117,Buy,0.3464991,52}{4240,Buy,0.1669659,52}{3677,Buy,0.1828935,54};Buy
S2890954;{1045,Hold,NA,0};Sell
S1956391;{1046,Hold,0.07317073,0}{4412,Hold,0.2987013,54}{291,Buy,0.2710127,60};Sell
S1588591;{286,Buy,0.7019103,0}{7463,Hold,0.5921096,0}{3832,Buy,NA,5}{3761,Buy,0.5917077,6}{735,Buy,0.6940623,22}{850,Buy,0.7535031,23}{850,Buy,0.8777207,57};Hold
S939479;{1567,Buy,NA,0};Buy
S1858788;{3610,Buy,0.1165524,0}{3503,Buy,0.1759765,19}{2135,Buy,0.2025316,22}{848,Hold,0.06700811,23}{3610,Buy,0.1516732,27}{3610,Buy,0.1702363,30}{1887,Hold,-0.6341726,36};Buy
S1588591;{850,Hold,0.1586119,0}{1524,Buy,0.3726311,24}{286,Hold,0.2843519,40};Sell
S37045169;{29152,Buy,0.1292438,1}{1699,Buy,0.1187297,3}{3187,Buy,0.2762958,15}{1415,Buy,0.2638231,41};Hold
S298662;{4178,Buy,0.1593243,0}{871,Hold,-0.01710957,26}{4246,Buy,NA,29}{286,Buy,0.1674571,35};Hold
S2172183;{1639,Buy,0.1585045,0};Hold
S20763182;{3165,Hold,NA,0}{1198,Buy,0.1961722,0};Buy
S14926173;{922,Buy,NA,0}{3124,Buy,0.270971,50}{458,Buy,NA,52};Sell
S3215079;{925,Sell,-0.02794654,0};Sell
S48372115;{299,Hold,1.316245,0}{3610,Buy,1.230932,3}{848,Buy,NA,14}{22025,Hold,0.8095238,26}{3710,Buy,1.558181,55};Hold
S5494120;{1394,Buy,0.192351,0}{3575,Buy,0.2148481,0}{1721,Buy,0.1238338,3}{3260,Buy,0.187905,21}{1226,Buy,0.2412892,22}{2156,Buy,0.1602922,23}{1721,Buy,0.1832998,24}{779,Buy,0.2726055,24}{1928,Buy,NA,26}{853,Buy,0.3226264,35}{3260,Buy,0.317489,49}{301,Buy,0.2217312,50};Buy
S36348162;{3406,Hold,4.694674,0}{3610,Buy,3.53468,14}{3610,Buy,3.66323,21};Sell
S46582110;{1212,Hold,-0.08577128,0}{4148,Buy,NA,47}{2099,Hold,NA,50}{3621,Hold,0.07451119,52}{485,Hold,-0.03047091,54}{3606,Buy,0.136165,56};Sell
S8195195;{4640,Buy,0.1676827,0}{4487,Buy,0.09797606,29}{1823,Hold,NA,32}{1531,Buy,NA,35}{3803,Buy,0.2321709,40}{3217,Sell,-0.2193218,41}{26561,Hold,-0.003721944,43}{12195,Buy,0.185822,44}{1849,Hold,NA,44}{3339,Buy,0.1529664,45}{879,Hold,0.02430394,46}{274,Hold,-0.03156719,46}{1566,Hold,0.02360718,47}{3785,Hold,0.03871577,47}{4640,Buy,0.2155895,49}{763,Hold,-0.0006222541,53}{2253,Hold,-0.03833462,53}{3339,Buy,0.1785115,53}{3339,Buy,0.1642203,54};Hold
S840140;{954,Buy,0.3024142,0}{1081,Buy,NA,22}{389,Buy,0.196319,29};Sell
S4729863;{3775,Buy,NA,0}{373,Buy,0.1855215,1};Buy
S448588;{847,Buy,1.430713,0}{4348,Hold,0.8204014,60};Sell
S7097194;{4458,Hold,NA,0}{455,Sell,-0.0609069,36};Hold
S26301203;{588,Buy,NA,0}{621,Buy,NA,0}{3106,Buy,0.112993,14}{1049,Buy,NA,33}{3106,Buy,0.05094814,34}{1709,Buy,0.1508631,42}{2208,Buy,0.2509382,42};Sell
